posts,annotations
sipon mataas na lagnat pagtatae ubo,"AURI, PN, TB, COVID"
masakit ang lalamunan mataas na lagnat sakit sa dibdib ubo,"AURI, PN, TB, COVID"
ubo mataas na lagnat sakit sa dibdib pulmonya,"AURI, PN, TB, COVID"
masakit ang lalamunan sakit sa dibdib ubo na may dugo ubo,"AURI, PN, TB, COVID"
hirap sa paghinga,PN
masakit ang lalamunan sakit sa dibdib ubo na may dugo hirap sa paghinga,"AURI, PN, TB, COVID"
ubo sakit sa dibdib sakit sa dibdib hirap sa paghinga,"AURI, PN, TB, COVID"
masakit ang lalamunan mataas na lagnat sakit sa dibdib hirap sa paghinga,"AURI, PN, TB, COVID"
ubo hirap sa paghinga sakit sa dibdib ubo,"AURI, PN, TB, COVID"
masakit ang lalamunan mataas na lagnat ubo na may dugo hirap sa paghinga,"AURI, PN, TB, COVID"
sipon sakit sa dibdib pagtatae pulmonya,"AURI, PN, TB, COVID"
ubo pagtatae,"AURI, TB"
ubo pagtatae,"COVID, TB"
ubo hirap sa paghinga pagtatae pulmonya,"AURI, PN, TB, COVID"
sipon sakit sa dibdib sakit sa dibdib hirap sa paghinga,"AURI, PN, TB, COVID"
masakit ang lalamunan hirap sa paghinga ubo na may dugo hirap sa paghinga,"AURI, PN, TB, COVID"
sakit sa dibdib ubo ubo na may dugo,"PN, AURI, TB"
sipon hirap sa paghinga sakit sa dibdib ubo,"AURI, PN, TB, COVID"
masakit ang lalamunan hirap sa paghinga sakit sa dibdib hirap sa paghinga,"AURI, PN, TB, COVID"
sipon mataas na lagnat sakit sa dibdib pulmonya,"AURI, PN, TB, COVID"
sipon sakit sa dibdib ubo na may dugo hirap sa paghinga,"AURI, PN, TB, COVID"
ubo mataas na lagnat pagtatae hirap sa paghinga,"AURI, PN, TB, COVID"
sipon hirap sa paghinga ubo na may dugo ubo,"AURI, PN, TB, COVID"
masakit ang lalamunan mataas na lagnat ubo na may dugo pulmonya,"AURI, PN, TB, COVID"
masakit ang lalamunan sakit sa dibdib pagtatae pulmonya,"AURI, PN, TB, COVID"
sipon hirap sa paghinga,"AURI, COVID"
masakit ang lalamunan hirap sa paghinga pagtatae pulmonya,"AURI, PN, TB, COVID"
sipon sakit sa dibdib pagtatae ubo,"AURI, PN, TB, COVID"
ubo mataas na lagnat ubo na may dugo hirap sa paghinga,"AURI, PN, TB, COVID"
masakit ang lalamunan hirap sa paghinga sakit sa dibdib pulmonya,"AURI, PN, TB, COVID"
masakit ang lalamunan mataas na lagnat ubo na may dugo hirap sa paghinga,"AURI, PN, TB, COVID"
sipon sakit sa dibdib ubo na may dugo ubo,"AURI, PN, TB, COVID"
masakit ang lalamunan mataas na lagnat sakit sa dibdib pulmonya,"AURI, PN, TB, COVID"
masakit ang lalamunan mataas na lagnat pagtatae hirap sa paghinga,"AURI, PN, TB, COVID"
ubo hirap sa paghinga pagtatae ubo,"AURI, PN, TB, COVID"
pagtatae mataas na lagnat pulmonya,"TB, PN, COVID"
mataas na lagnat ubo,"PN, COVID"
sipon mataas na lagnat ubo na may dugo hirap sa paghinga,"AURI, PN, TB, COVID"
sakit sa dibdib sipon mataas na lagnat,"TB, AURI, PN"
ubo sakit sa dibdib sakit sa dibdib pulmonya,"AURI, PN, TB, COVID"
masakit ang lalamunan sakit sa dibdib ubo na may dugo pulmonya,"AURI, PN, TB, COVID"
masakit ang lalamunan hirap sa paghinga ubo na may dugo hirap sa paghinga,"AURI, PN, TB, COVID"
sipon sakit sa dibdib pagtatae hirap sa paghinga,"AURI, PN, TB, COVID"
sipon hirap sa paghinga ubo na may dugo hirap sa paghinga,"AURI, PN, TB, COVID"
ubo mataas na lagnat sakit sa dibdib pulmonya,"AURI, PN, TB, COVID"
hirap sa paghinga mataas na lagnat,"COVID, PN"
sipon mataas na lagnat pagtatae pulmonya,"AURI, PN, TB, COVID"
masakit ang lalamunan,AURI
masakit ang lalamunan sakit sa dibdib sakit sa dibdib pulmonya,"AURI, PN, TB, COVID"
sipon hirap sa paghinga sakit sa dibdib hirap sa paghinga,"AURI, PN, TB, COVID"
pagtatae hirap sa paghinga,"TB, COVID"
sipon hirap sa paghinga ubo na may dugo pulmonya,"AURI, PN, TB, COVID"
ubo mataas na lagnat pagtatae pulmonya,"AURI, PN, TB, COVID"
masakit ang lalamunan mataas na lagnat sakit sa dibdib hirap sa paghinga,"AURI, PN, TB, COVID"
sakit sa dibdib ubo pulmonya ubo na may dugo,"PN, AURI, COVID, TB"
sipon sakit sa dibdib,"AURI, TB"
sipon pagtatae mataas na lagnat ubo,"AURI, TB, PN, COVID"
masakit ang lalamunan sakit sa dibdib,"AURI, TB"
mataas na lagnat,PN
masakit ang lalamunan sakit sa dibdib,"AURI, TB"
sipon pagtatae,"AURI, TB"
ubo pagtatae,"AURI, TB"
ubo ubo na may dugo,"AURI, TB"
ubo ubo na may dugo,"AURI, TB"
sipon sakit sa dibdib,"AURI, PN"
mataas na lagnat,PN
masakit ang lalamunan ubo na may dugo,"AURI, TB"
ubo sakit sa dibdib hirap sa paghinga,"COVID, TB, PN"
ubo sakit sa dibdib,"AURI, TB"
ubo pagtatae,"AURI, TB"
ubo sakit sa dibdib,"AURI, TB"
sipon ubo na may dugo,"AURI, TB"
masakit ang lalamunan pagtatae,"AURI, TB"
ubo,AURI
ubo sakit sa dibdib,"AURI, TB"
sipon sakit sa dibdib,"AURI, TB"
ubo ubo na may dugo,"AURI, TB"
masakit ang lalamunan pagtatae,"AURI, TB"
sipon ubo na may dugo,"AURI, TB"
sakit sa dibdib mataas na lagnat,"TB, PN"
masakit ang lalamunan ubo na may dugo,"AURI, TB"
masakit ang lalamunan sakit sa dibdib,"AURI, TB"
hirap sa paghinga,PN
ubo pagtatae,"AURI, TB"
pulmonya sakit sa dibdib mataas na lagnat masakit ang lalamunan,"COVID, TB, PN, AURI"
sipon pagtatae,"AURI, TB"
ubo sakit sa dibdib,"AURI, TB"
mataas na lagnat sipon hirap sa paghinga,"PN, AURI, COVID"
sipon sakit sa dibdib,"AURI, TB"
ubo ubo na may dugo,"AURI, TB"
masakit ang lalamunan pagtatae,"AURI, TB"
sipon ubo na may dugo,"AURI, TB"
masakit ang lalamunan ubo na may dugo,"AURI, TB"
masakit ang lalamunan sakit sa dibdib,"AURI, TB"
ubo pagtatae,"AURI, TB"
sipon pagtatae,"AURI, TB"
ubo sakit sa dibdib,"AURI, TB"
sipon sakit sa dibdib,"AURI, TB"
ubo ubo na may dugo,"AURI, TB"
masakit ang lalamunan pagtatae,"AURI, TB"
sipon ubo na may dugo,"AURI, TB"
masakit ang lalamunan ubo na may dugo,"AURI, TB"
sakit sa dibdib sipon pulmonya,"PN, AURI, COVID"
pulmonya sakit sa dibdib masakit ang lalamunan mataas na lagnat,"COVID, TB, AURI, PN"
masakit ang lalamunan sakit sa dibdib,"AURI, TB"
ubo pagtatae,"AURI, TB"
sipon pagtatae,"AURI, TB"
ubo sakit sa dibdib,"AURI, TB"
sipon sakit sa dibdib,"AURI, TB"
ubo ubo na may dugo,"AURI, TB"
masakit ang lalamunan pagtatae,"AURI, TB"
sipon ubo na may dugo,"AURI, TB"
hirap sa paghinga mataas na lagnat,"COVID, PN"
ubo ubo mataas na lagnat sakit sa dibdib,"AURI, COVID, PN, TB"
masakit ang lalamunan ubo na may dugo,"AURI, TB"
masakit ang lalamunan sakit sa dibdib,"AURI, TB"
ubo pagtatae,"AURI, TB"
sipon pagtatae,"AURI, TB"
ubo ubo na may dugo hirap sa paghinga,"AURI, TB, COVID"
masakit ang lalamunan sakit sa dibdib ubo,"AURI, TB, COVID"
hirap sa paghinga pagtatae sipon,"COVID, TB, AURI"
masakit ang lalamunan pagtatae ubo,"AURI, TB, COVID"
sipon ubo na may dugo ubo,"AURI, TB, COVID"
ubo pagtatae pulmonya,"AURI, TB, COVID"
hirap sa paghinga masakit ang lalamunan sakit sa dibdib,"COVID, AURI, PN"
ubo sakit sa dibdib hirap sa paghinga,"AURI, TB, COVID"
hirap sa paghinga sakit sa dibdib ubo sipon,"PN, TB, COVID, AURI"
sipon pagtatae hirap sa paghinga,"AURI, TB, COVID"
masakit ang lalamunan sakit sa dibdib ubo,"AURI, TB, COVID"
sipon pagtatae sakit sa dibdib,"AURI, TB, PN"
sipon sakit sa dibdib pulmonya,"AURI, TB, COVID"
sipon ubo na may dugo pulmonya,"AURI, TB, COVID"
sipon pagtatae ubo,"AURI, TB, COVID"
sipon sakit sa dibdib hirap sa paghinga,"AURI, TB, COVID"
sipon pagtatae pulmonya,"AURI, TB, COVID"
ubo pagtatae pulmonya,"AURI, TB, COVID"
pagtatae mataas na lagnat ubo,"TB, PN, COVID"
masakit ang lalamunan pagtatae hirap sa paghinga,"AURI, TB, COVID"
sakit sa dibdib mataas na lagnat,"TB, PN"
masakit ang lalamunan sakit sa dibdib pulmonya,"AURI, TB, COVID"
sipon ubo na may dugo hirap sa paghinga,"AURI, TB, COVID"
masakit ang lalamunan pagtatae ubo,"AURI, TB, COVID"
ubo ubo na may dugo pulmonya,"AURI, TB, COVID"
sipon ubo na may dugo ubo,"AURI, TB, COVID"
sipon pagtatae hirap sa paghinga,"AURI, TB, COVID"
masakit ang lalamunan sakit sa dibdib ubo,"AURI, TB, COVID"
pagtatae pulmonya masakit ang lalamunan,"TB, COVID, AURI"
ubo pagtatae ubo,"AURI, TB, COVID"
sipon ubo na may dugo pulmonya,"AURI, TB, COVID"
ubo ubo na may dugo hirap sa paghinga,"AURI, TB, COVID"
masakit ang lalamunan sakit sa dibdib hirap sa paghinga,"AURI, TB, COVID"
ubo na may dugo pulmonya mataas na lagnat masakit ang lalamunan,"TB, COVID, PN, AURI"
sipon pagtatae ubo,"AURI, TB, COVID"
pulmonya ubo na may dugo sakit sa dibdib sipon,"COVID, TB, PN, AURI"
sipon pagtatae pulmonya,"AURI, TB, COVID"
hirap sa paghinga mataas na lagnat ubo na may dugo ubo,"COVID, PN, TB, AURI"
ubo pagtatae pulmonya,"AURI, TB, COVID"
masakit ang lalamunan pagtatae hirap sa paghinga,"AURI, TB, COVID"
pagtatae sakit sa dibdib ubo ubo,"TB, PN, AURI, COVID"
sipon hirap sa paghinga sakit sa dibdib hirap sa paghinga,"AURI, COVID, TB, PN"
sipon ubo na may dugo hirap sa paghinga,"AURI, TB, PN"
masakit ang lalamunan ubo na may dugo pulmonya,"AURI, TB, COVID"
sipon ubo na may dugo hirap sa paghinga,"AURI, TB, COVID"
ubo sakit sa dibdib hirap sa paghinga,"AURI, TB, COVID"
ubo ubo na may dugo ubo,"AURI, TB, COVID"
masakit ang lalamunan ubo na may dugo hirap sa paghinga,"AURI, TB, COVID"
sipon pagtatae hirap sa paghinga,"AURI, TB, COVID"
masakit ang lalamunan sakit sa dibdib ubo,"AURI, TB, COVID"
sipon sakit sa dibdib pulmonya,"AURI, TB, COVID"
ubo ubo na may dugo hirap sa paghinga,"AURI, TB, COVID"
masakit ang lalamunan sakit sa dibdib hirap sa paghinga,"AURI, TB, COVID"
masakit ang lalamunan hirap sa paghinga ubo na may dugo sakit sa dibdib,"AURI, COVID, TB, PN"
sipon pagtatae ubo,"AURI, TB, COVID"
sakit sa dibdib ubo pagtatae hirap sa paghinga,"PN, AURI, TB, COVID"
sipon pagtatae pulmonya,"AURI, TB, COVID"
hirap sa paghinga mataas na lagnat pagtatae masakit ang lalamunan,"COVID, PN, TB, AURI"
ubo pagtatae pulmonya,"AURI, TB, COVID"
masakit ang lalamunan pagtatae hirap sa paghinga,"AURI, TB, COVID"
masakit ang lalamunan sakit sa dibdib pulmonya,"AURI, TB, COVID"
masakit ang lalamunan ubo na may dugo ubo,"AURI, TB, COVID"
ubo sakit sa dibdib ubo,"AURI, TB, COVID"
sipon sakit sa dibdib ubo,"AURI, TB, COVID"
sipon ubo na may dugo hirap sa paghinga,"AURI, TB, COVID"
ubo pagtatae hirap sa paghinga,"AURI, TB, COVID"
ubo sakit sa dibdib pulmonya,"AURI, TB, COVID"
ubo ubo na may dugo ubo,"AURI, TB, COVID"
masakit ang lalamunan hirap sa paghinga pagtatae,"AURI, PN, TB"
masakit ang lalamunan pagtatae ubo,"AURI, TB, COVID"
masakit ang lalamunan pagtatae pulmonya,"AURI, TB, COVID"
sipon ubo na may dugo ubo,"AURI, TB, COVID"
masakit ang lalamunan ubo na may dugo hirap sa paghinga,"AURI, TB, COVID"
sipon pagtatae hirap sa paghinga,"AURI, TB, COVID"
ubo pagtatae ubo,"AURI, TB, COVID"
ubo ubo na may dugo hirap sa paghinga,"AURI, TB, COVID"
sipon pagtatae ubo,"AURI, TB, COVID"
ubo pagtatae pulmonya,"AURI, TB, COVID"
masakit ang lalamunan pagtatae hirap sa paghinga,"AURI, TB, COVID"
masakit ang lalamunan sakit sa dibdib pulmonya,"AURI, TB, COVID"
sipon sakit sa dibdib ubo,"AURI, TB, COVID"
sipon ubo na may dugo hirap sa paghinga,"AURI, TB, COVID"
ubo pagtatae hirap sa paghinga,"AURI, TB, COVID"
ubo sakit sa dibdib pulmonya,"AURI, TB, COVID"
masakit ang lalamunan pagtatae ubo,"AURI, TB, COVID"
masakit ang lalamunan pagtatae pulmonya,"AURI, TB, COVID"
sipon ubo na may dugo ubo,"AURI, TB, COVID"
masakit ang lalamunan ubo na may dugo pulmonya,"AURI, TB, COVID"
masakit ang lalamunan ubo na may dugo hirap sa paghinga,"AURI, TB, COVID"
ubo pagtatae pulmonya mataas na lagnat,"AURI, TB, COVID, PN"
masakit ang lalamunan ubo na may dugo pulmonya sakit sa dibdib,"AURI, TB, COVID, PN"
ubo pagtatae ubo hirap sa paghinga,"AURI, TB, COVID, PN"
ubo pagtatae pulmonya hirap sa paghinga,"AURI, TB, COVID, PN"
masakit ang lalamunan pagtatae hirap sa paghinga hirap sa paghinga,"AURI, TB, COVID, PN"
sipon sakit sa dibdib ubo mataas na lagnat,"AURI, TB, COVID, PN"
ubo ubo na may dugo hirap sa paghinga hirap sa paghinga,"AURI, TB, COVID, PN"
masakit ang lalamunan pagtatae hirap sa paghinga sakit sa dibdib,"AURI, TB, COVID, PN"
ubo ubo na may dugo pulmonya mataas na lagnat,"AURI, TB, COVID, PN"
ubo ubo na may dugo ubo mataas na lagnat,"AURI, TB, COVID, PN"
ubo sakit sa dibdib hirap sa paghinga sakit sa dibdib,"AURI, TB, COVID, PN"
masakit ang lalamunan ubo na may dugo pulmonya mataas na lagnat,"AURI, TB, COVID, PN"
masakit ang lalamunan sakit sa dibdib ubo mataas na lagnat,"AURI, TB, COVID, PN"
masakit ang lalamunan ubo na may dugo ubo hirap sa paghinga,"AURI, TB, COVID, PN"
masakit ang lalamunan ubo na may dugo hirap sa paghinga mataas na lagnat,"AURI, TB, COVID, PN"
ubo sakit sa dibdib pulmonya mataas na lagnat,"AURI, TB, COVID, PN"
masakit ang lalamunan pagtatae pulmonya sakit sa dibdib,"AURI, TB, COVID, PN"
ubo sakit sa dibdib hirap sa paghinga sakit sa dibdib,"AURI, TB, COVID, PN"
sipon pagtatae hirap sa paghinga mataas na lagnat,"AURI, TB, COVID, PN"
ubo ubo na may dugo hirap sa paghinga hirap sa paghinga,"AURI, TB, COVID, PN"
sipon pagtatae hirap sa paghinga hirap sa paghinga,"AURI, TB, COVID, PN"
sipon sakit sa dibdib pulmonya mataas na lagnat,"AURI, TB, COVID, PN"
masakit ang lalamunan pagtatae ubo hirap sa paghinga,"AURI, TB, COVID, PN"
ubo pagtatae pulmonya sakit sa dibdib,"AURI, TB, COVID, PN"
masakit ang lalamunan sakit sa dibdib pulmonya mataas na lagnat,"AURI, TB, COVID, PN"
sipon ubo na may dugo hirap sa paghinga mataas na lagnat,"AURI, TB, COVID, PN"
masakit ang lalamunan sakit sa dibdib hirap sa paghinga hirap sa paghinga,"AURI, TB, COVID, PN"
masakit ang lalamunan pagtatae ubo sakit sa dibdib,"AURI, TB, COVID, PN"
sipon pagtatae ubo sakit sa dibdib,"AURI, TB, COVID, PN"
masakit ang lalamunan sakit sa dibdib hirap sa paghinga sakit sa dibdib,"AURI, TB, COVID, PN"
masakit ang lalamunan pagtatae pulmonya hirap sa paghinga,"AURI, TB, COVID, PN"
ubo pagtatae ubo mataas na lagnat,"AURI, TB, COVID, PN"
masakit ang lalamunan pagtatae ubo mataas na lagnat,"AURI, TB, COVID, PN"
ubo pagtatae hirap sa paghinga mataas na lagnat,"AURI, TB, COVID, PN"
sipon ubo na may dugo pulmonya mataas na lagnat,"AURI, TB, COVID, PN"
sipon sakit sa dibdib hirap sa paghinga mataas na lagnat,"AURI, TB, COVID, PN"
sipon ubo na may dugo pulmonya sakit sa dibdib,"AURI, TB, COVID, PN"
ubo ubo na may dugo ubo hirap sa paghinga,"AURI, TB, COVID, PN"
sipon ubo na may dugo ubo sakit sa dibdib,"AURI, TB, COVID, PN"
ubo pagtatae pulmonya hirap sa paghinga,"AURI, TB, COVID, PN"
ubo pagtatae pulmonya mataas na lagnat,"AURI, TB, COVID, PN"
masakit ang lalamunan pagtatae pulmonya mataas na lagnat,"AURI, TB, COVID, PN"
sipon ubo na may dugo ubo hirap sa paghinga,"AURI, TB, COVID, PN"
ubo ubo na may dugo pulmonya sakit sa dibdib,"AURI, TB, COVID, PN"
masakit ang lalamunan pagtatae hirap sa paghinga hirap sa paghinga,"AURI, TB, COVID, PN"
sipon pagtatae hirap sa paghinga mataas na lagnat,"AURI, TB, COVID, PN"
sipon sakit sa dibdib pulmonya mataas na lagnat,"AURI, TB, COVID, PN"
sipon pagtatae ubo sakit sa dibdib,"AURI, TB, COVID, PN"
sipon sakit sa dibdib ubo mataas na lagnat,"AURI, TB, COVID, PN"
masakit ang lalamunan sakit sa dibdib ubo hirap sa paghinga,"AURI, TB, COVID, PN"
sipon sakit sa dibdib hirap sa paghinga hirap sa paghinga,"AURI, TB, COVID, PN"
masakit ang lalamunan sakit sa dibdib hirap sa paghinga mataas na lagnat,"AURI, TB, COVID, PN"
ubo sakit sa dibdib hirap sa paghinga mataas na lagnat,"AURI, TB, COVID, PN"
sipon sakit sa dibdib ubo hirap sa paghinga,"AURI, TB, COVID, PN"
masakit ang lalamunan ubo na may dugo pulmonya mataas na lagnat,"AURI, TB, COVID, PN"
masakit ang lalamunan sakit sa dibdib pulmonya hirap sa paghinga,"AURI, TB, COVID, PN"
sipon pagtatae ubo hirap sa paghinga,"AURI, TB, COVID, PN"
masakit ang lalamunan ubo na may dugo pulmonya sakit sa dibdib,"AURI, TB, COVID, PN"
ubo pagtatae pulmonya mataas na lagnat,"AURI, TB, COVID, PN"
sipon ubo na may dugo ubo mataas na lagnat,"AURI, TB, COVID, PN"
masakit ang lalamunan pagtatae pulmonya sakit sa dibdib,"AURI, TB, COVID, PN"
masakit ang lalamunan pagtatae pulmonya mataas na lagnat,"AURI, TB, COVID, PN"
ubo sakit sa dibdib hirap sa paghinga hirap sa paghinga,"AURI, TB, COVID, PN"
masakit ang lalamunan sakit sa dibdib pulmonya sakit sa dibdib,"AURI, TB, COVID, PN"
masakit ang lalamunan pagtatae hirap sa paghinga hirap sa paghinga,"AURI, TB, COVID, PN"
ubo sakit sa dibdib pulmonya sakit sa dibdib,"AURI, TB, COVID, PN"
sipon ubo na may dugo hirap sa paghinga mataas na lagnat,"AURI, TB, COVID, PN"
masakit ang lalamunan pagtatae ubo sakit sa dibdib,"AURI, TB, COVID, PN"
sipon pagtatae ubo sakit sa dibdib,"AURI, TB, COVID, PN"
sipon ubo na may dugo pulmonya hirap sa paghinga,"AURI, TB, COVID, PN"
sipon sakit sa dibdib ubo hirap sa paghinga,"AURI, TB, COVID, PN"
masakit ang lalamunan pagtatae ubo mataas na lagnat,"AURI, TB, COVID, PN"
ubo sakit sa dibdib ubo hirap sa paghinga,"AURI, TB, COVID, PN"
sipon sakit sa dibdib hirap sa paghinga mataas na lagnat,"AURI, TB, COVID, PN"
ubo ubo na may dugo ubo hirap sa paghinga,"AURI, TB, COVID, PN"
ubo sakit sa dibdib pulmonya mataas na lagnat,"AURI, TB, COVID, PN"
sipon pagtatae ubo mataas na lagnat,"AURI, TB, COVID, PN"
ubo sakit sa dibdib hirap sa paghinga sakit sa dibdib,"AURI, TB, COVID, PN"
ubo sakit sa dibdib hirap sa paghinga hirap sa paghinga,"AURI, TB, COVID, PN"
ubo sakit sa dibdib ubo sakit sa dibdib,"AURI, TB, COVID, PN"
masakit ang lalamunan pagtatae hirap sa paghinga hirap sa paghinga,"AURI, TB, COVID, PN"
ubo ubo na may dugo hirap sa paghinga hirap sa paghinga,"AURI, TB, COVID, PN"
ubo sakit sa dibdib ubo mataas na lagnat,"AURI, TB, COVID, PN"
ubo ubo na may dugo ubo mataas na lagnat,"AURI, TB, COVID, PN"
masakit ang lalamunan sakit sa dibdib ubo sakit sa dibdib,"AURI, TB, COVID, PN"
ubo pagtatae ubo hirap sa paghinga,"AURI, TB, COVID, PN"
sipon sakit sa dibdib pulmonya hirap sa paghinga,"AURI, TB, COVID, PN"
sipon ubo na may dugo hirap sa paghinga hirap sa paghinga,"AURI, TB, COVID, PN"
sipon sakit sa dibdib pulmonya sakit sa dibdib,"AURI, TB, COVID, PN"
sipon ubo na may dugo pulmonya hirap sa paghinga,"AURI, TB, COVID, PN"
ubo sakit sa dibdib pulmonya hirap sa paghinga,"AURI, TB, COVID, PN"
sipon pagtatae pulmonya sakit sa dibdib,"AURI, TB, COVID, PN"
ubo sakit sa dibdib hirap sa paghinga mataas na lagnat,"AURI, TB, COVID, PN"
masakit ang lalamunan ubo na may dugo ubo mataas na lagnat,"AURI, TB, COVID, PN"
ubo pagtatae sakit sa dibdib,"AURI, TB, PN"
masakit ang lalamunan sakit sa dibdib hirap sa paghinga,"AURI, TB, PN"
sipon ubo na may dugo mataas na lagnat,"AURI, TB, PN"
sipon pagtatae mataas na lagnat,"AURI, TB, PN"
masakit ang lalamunan ubo na may dugo sakit sa dibdib,"AURI, TB, PN"
masakit ang lalamunan pagtatae mataas na lagnat,"AURI, TB, PN"
masakit ang lalamunan ubo na may dugo mataas na lagnat,"AURI, TB, PN"
ubo pagtatae hirap sa paghinga,"AURI, TB, PN"
sipon sakit sa dibdib sakit sa dibdib,"AURI, TB, PN"
sipon pagtatae mataas na lagnat,"AURI, TB, PN"
sipon ubo na may dugo mataas na lagnat,"AURI, TB, PN"
ubo ubo na may dugo mataas na lagnat,"AURI, TB, PN"
masakit ang lalamunan ubo na may dugo hirap sa paghinga,"AURI, TB, PN"
ubo sakit sa dibdib sakit sa dibdib,"AURI, TB, PN"
masakit ang lalamunan sakit sa dibdib mataas na lagnat,"AURI, TB, PN"
ubo pagtatae sakit sa dibdib,"AURI, TB, PN"
masakit ang lalamunan pagtatae mataas na lagnat,"AURI, TB, PN"
sipon sakit sa dibdib mataas na lagnat,"AURI, TB, PN"
masakit ang lalamunan pagtatae hirap sa paghinga,"AURI, TB, PN"
sipon ubo na may dugo sakit sa dibdib,"AURI, TB, PN"
ubo ubo na may dugo sakit sa dibdib,"AURI, TB, PN"
sipon pagtatae sakit sa dibdib,"AURI, TB, PN"
sipon sakit sa dibdib hirap sa paghinga,"AURI, TB, PN"
sipon ubo na may dugo hirap sa paghinga,"AURI, TB, PN"
ubo pagtatae hirap sa paghinga,"AURI, TB, PN"
sipon sakit sa dibdib sakit sa dibdib,"AURI, TB, PN"
masakit ang lalamunan ubo na may dugo sakit sa dibdib,"AURI, TB, PN"
sipon pagtatae mataas na lagnat,"AURI, TB, PN"
sipon ubo na may dugo mataas na lagnat,"AURI, TB, PN"
ubo ubo na may dugo mataas na lagnat,"AURI, TB, PN"
ubo sakit sa dibdib mataas na lagnat,"AURI, TB, PN"
masakit ang lalamunan sakit sa dibdib mataas na lagnat,"AURI, TB, PN"
ubo pagtatae sakit sa dibdib,"AURI, TB, PN"
masakit ang lalamunan pagtatae sakit sa dibdib,"AURI, TB, PN"
ubo pagtatae mataas na lagnat,"AURI, TB, PN"
sipon sakit sa dibdib mataas na lagnat,"AURI, TB, PN"
masakit ang lalamunan pagtatae hirap sa paghinga,"AURI, TB, PN"
sipon ubo na may dugo sakit sa dibdib,"AURI, TB, PN"
ubo ubo na may dugo sakit sa dibdib,"AURI, TB, PN"
masakit ang lalamunan sakit sa dibdib hirap sa paghinga,"AURI, TB, PN"
sipon pagtatae sakit sa dibdib,"AURI, TB, PN"
sipon sakit sa dibdib hirap sa paghinga,"AURI, TB, PN"
sipon ubo na may dugo hirap sa paghinga,"AURI, TB, PN"
ubo pagtatae hirap sa paghinga,"AURI, TB, PN"
sipon sakit sa dibdib sakit sa dibdib,"AURI, TB, PN"
sipon pagtatae mataas na lagnat,"AURI, TB, PN"
sipon ubo na may dugo mataas na lagnat,"AURI, TB, PN"
ubo ubo na may dugo mataas na lagnat,"AURI, TB, PN"
masakit ang lalamunan ubo na may dugo hirap sa paghinga,"AURI, TB, PN"
ubo sakit sa dibdib sakit sa dibdib,"AURI, TB, PN"
masakit ang lalamunan sakit sa dibdib mataas na lagnat,"AURI, TB, PN"
sipon pagtatae hirap sa paghinga,"AURI, TB, PN"
masakit ang lalamunan pagtatae sakit sa dibdib,"AURI, TB, PN"
masakit ang lalamunan pagtatae mataas na lagnat,"AURI, TB, PN"
sipon sakit sa dibdib mataas na lagnat,"AURI, TB, PN"
masakit ang lalamunan pagtatae hirap sa paghinga,"AURI, TB, PN"
sipon ubo na may dugo sakit sa dibdib,"AURI, TB, PN"
masakit ang lalamunan sakit sa dibdib sakit sa dibdib,"AURI, TB, PN"
ubo ubo na may dugo hirap sa paghinga,"AURI, TB, PN"
sipon sakit sa dibdib sakit sa dibdib,"AURI, TB, PN"
sipon pagtatae mataas na lagnat,"AURI, TB, PN"
ubo sakit sa dibdib hirap sa paghinga,"AURI, TB, PN"
masakit ang lalamunan sakit sa dibdib mataas na lagnat,"AURI, TB, PN"
masakit ang lalamunan pagtatae sakit sa dibdib,"AURI, TB, PN"
masakit ang lalamunan pagtatae mataas na lagnat,"AURI, TB, PN"
ubo pagtatae mataas na lagnat,"AURI, TB, PN"
sipon ubo na may dugo sakit sa dibdib,"AURI, TB, PN"
ubo ubo na may dugo hirap sa paghinga,"AURI, TB, PN"
ubo ubo na may dugo sakit sa dibdib,"AURI, TB, PN"
masakit ang lalamunan sakit sa dibdib hirap sa paghinga,"AURI, TB, PN"
ubo pagtatae hirap sa paghinga pulmonya,"AURI, TB, PN, COVID"
masakit ang lalamunan pagtatae mataas na lagnat ubo,"AURI, TB, PN, COVID"
masakit ang lalamunan pagtatae mataas na lagnat ubo,"AURI, TB, PN, COVID"
ubo sakit sa dibdib hirap sa paghinga hirap sa paghinga,"AURI, TB, PN, COVID"
ubo pagtatae mataas na lagnat hirap sa paghinga,"AURI, TB, PN, COVID"
masakit ang lalamunan pagtatae mataas na lagnat hirap sa paghinga,"AURI, TB, PN, COVID"
sipon pagtatae mataas na lagnat ubo,"AURI, TB, PN, COVID"
ubo ubo na may dugo mataas na lagnat ubo,"AURI, TB, PN, COVID"
masakit ang lalamunan sakit sa dibdib sakit sa dibdib hirap sa paghinga,"AURI, TB, PN, COVID"
sipon pagtatae mataas na lagnat pulmonya,"AURI, TB, PN, COVID"
masakit ang lalamunan ubo na may dugo sakit sa dibdib ubo,"AURI, TB, PN, COVID"
sipon ubo na may dugo sakit sa dibdib hirap sa paghinga,"AURI, TB, PN, COVID"
sipon sakit sa dibdib mataas na lagnat ubo,"AURI, TB, PN, COVID"
ubo ubo na may dugo mataas na lagnat hirap sa paghinga,"AURI, TB, PN, COVID"
masakit ang lalamunan sakit sa dibdib hirap sa paghinga pulmonya,"AURI, TB, PN, COVID"
masakit ang lalamunan ubo na may dugo sakit sa dibdib pulmonya,"AURI, TB, PN, COVID"
sipon ubo na may dugo mataas na lagnat pulmonya,"AURI, TB, PN, COVID"
